PSTAR: Stopping Powers and Range Tables for Protons

PLASTIC SCINTILLATOR (vinyltoluene-based)                               

Kinetic   Total     CSDA      Projected 
Energy    Stp. Pow. Range     Range     
MeV       MeV cm2/g g/cm2     g/cm2     

7.000E+00 6.101E+01 6.475E-02 6.464E-02 
7.500E+00 5.773E+01 7.318E-02 7.306E-02 
8.000E+00 5.482E+01 8.207E-02 8.194E-02 
8.500E+00 5.221E+01 9.142E-02 9.127E-02 
9.000E+00 4.986E+01 1.012E-01 1.011E-01 
9.500E+00 4.773E+01 1.115E-01 1.113E-01 
1.000E+01 4.579E+01 1.222E-01 1.220E-01 
1.250E+01 3.821E+01 1.822E-01 1.820E-01 
1.500E+01 3.294E+01 2.529E-01 2.526E-01 
1.750E+01 2.904E+01 3.339E-01 3.335E-01 
2.000E+01 2.604E+01 4.250E-01 4.244E-01 
2.500E+01 2.171E+01 6.363E-01 6.355E-01 
2.750E+01 2.008E+01 7.562E-01 7.552E-01 
3.000E+01 1.871E+01 8.852E-01 8.841E-01 
3.500E+01 1.651E+01 1.170E+00 1.169E+00 
4.000E+01 1.482E+01 1.491E+00 1.489E+00 
4.500E+01 1.348E+01 1.845E+00 1.842E+00 
5.000E+01 1.239E+01 2.232E+00 2.229E+00 
5.500E+01 1.149E+01 2.651E+00 2.648E+00 
6.000E+01 1.073E+01 3.102E+00 3.098E+00 
6.500E+01 1.007E+01 3.583E+00 3.579E+00 
7.000E+01 9.509E+00 4.094E+00 4.090E+00 
7.500E+01 9.014E+00 4.635E+00 4.629E+00 
8.000E+01 8.577E+00 5.203E+00 5.198E+00 
8.500E+01 8.189E+00 5.800E+00 5.794E+00 
9.000E+01 7.841E+00 6.424E+00 6.418E+00 
9.500E+01 7.528E+00 7.075E+00 7.068E+00 
1.000E+02 7.245E+00 7.753E+00 7.744E+00 
1.250E+02 6.151E+00 1.152E+01 1.150E+01 
1.500E+02 5.407E+00 1.586E+01 1.585E+01 
1.750E+02 4.867E+00 2.075E+01 2.073E+01 
2.000E+02 4.458E+00 2.612E+01 2.610E+01 
2.250E+02 4.138E+00 3.195E+01 3.192E+01 
2.500E+02 3.880E+00 3.819E+01 3.816E+01 
2.750E+02 3.668E+00 4.483E+01 4.479E+01 
3.000E+02 3.491E+00 5.182E+01 5.177E+01 
3.500E+02 3.214E+00 6.677E+01 6.672E+01 
4.000E+02 3.006E+00 8.288E+01 8.281E+01 
4.500E+02 2.846E+00 9.999E+01 9.991E+01 
5.000E+02 2.719E+00 1.180E+02 1.179E+02 
5.500E+02 2.616E+00 1.367E+02 1.366E+02 
6.000E+02 2.532E+00 1.562E+02 1.561E+02 
6.500E+02 2.462E+00 1.762E+02 1.761E+02 
7.000E+02 2.402E+00 1.968E+02 1.966E+02 
